Banner,UPC,Northern California,New York,Kansas,Texas
Walmart,416724552,,6.12,,
Trader Joes,416724552,,,,6.29
Wegmans,418444428,,16.29,15.69,15.79
Whole Foods,418444428,,17.79,1.99,17.29
Trader Joes,418444428,17.99,,,15.49
Safeway,418444428,18.89,,16.09,16.29
Walmart,418444428,,15.27,,14.74
Walmart,420577775,,18.04,17.33,
Trader Joes,420577775,,,,18.39
Wegmans,420577775,,19.29,18.59,18.79
Safeway,420577775,,,19.19,19.29
Whole Foods,420577775,23.79,21.09,1.99,20.49
Wegmans,421047592,,3.09,,2.99
Walmart,421047592,,2.85,,
Whole Foods,421047592,3.69,3.29,1.99,
Trader Joes,421047592,3.39,,,2.89
Safeway,421047592,3.49,,2.99,3.09
Safeway,421176959,69.99,,59.59,
Whole Foods,421176959,74.09,65.69,1.99,
Trader Joes,421176959,66.49,,,57.29
Wegmans,421176959,,60.19,57.89,58.49
Walmart,421176959,63.12,56.01,53.86,54.34
Whole Foods,421428384,,64.39,1.99,62.49
Safeway,421428384,,,58.49,59.09
Trader Joes,421428384,65.19,57.89,,56.19
Wegmans,421428384,,59.09,56.79,57.29
Walmart,421428384,,54.9,52.85,
Whole Foods,421938798,,17.89,1.99,17.39
Trader Joes,421938798,,,15.49,15.59
Safeway,421938798,,,16.29,16.39
Walmart,421938798,,,14.77,
Wegmans,421938798,,16.39,,15.89
Walmart,426268457,13.97,12.35,11.81,12.02
Safeway,426268457,,,13.09,
Trader Joes,426268457,14.59,12.99,,12.59
Whole Foods,426268457,16.29,14.39,1.99,13.99
Safeway,426540728,,,51.49,51.99
Whole Foods,426540728,63.99,56.79,,55.09
Trader Joes,426540728,57.49,,,49.49
Wegmans,426540728,,51.99,,50.49
Walmart,426540728,,48.44,46.56,
Safeway,426909634,15.09,,12.89,12.99
Walmart,426909634,,12.14,11.66,11.73
Whole Foods,426909634,15.99,14.19,,
Wegmans,426909634,,12.99,12.49,12.59
Trader Joes,426909634,,12.69,12.19,12.39
Safeway,428456157,,,25.09,25.39
Wegmans,428456157,,25.39,24.39,24.69
Trader Joes,428456157,,,23.89,24.19
Whole Foods,428456157,31.19,27.69,1.99,
Walmart,428456157,,23.62,,22.94
Trader Joes,429624919,,50.69,,49.19
Wegmans,429624919,,51.69,49.69,50.19
Whole Foods,429624919,,,1.99,
Walmart,429624919,54.24,48.13,,
Safeway,429624919,,,51.19,51.69
Wegmans,430094535,,,28.79,28.99
Walmart,430094535,31.37,27.84,,
Trader Joes,430094535,32.99,,28.19,28.49
Safeway,430094535,,,,29.89
Whole Foods,430094535,36.79,32.59,1.99,31.69
Safeway,431156925,,,37.89,38.29
Trader Joes,431156925,,37.49,,36.39
Wegmans,431156925,,38.29,,37.09
Walmart,431156925,,35.65,34.22,34.57
Whole Foods,431156925,,,1.99,
Walmart,432934258,,51.0,,
Trader Joes,432934258,60.59,,51.59,52.19
Whole Foods,432934258,67.39,59.79,1.99,58.09
Wegmans,432934258,,54.79,,53.19
Safeway,432934258,,,54.29,54.79
Walmart,433536637,,36.87,35.3,35.76
Safeway,433536637,,,39.19,39.59
Whole Foods,433536637,,,1.99,41.89
Wegmans,433536637,,39.59,,38.39
Trader Joes,433536637,,,,37.59
Trader Joes,434688119,,,,14.19
Safeway,434688119,,,14.79,14.89
Whole Foods,434688119,18.29,16.29,1.99,15.79
Walmart,434688119,15.65,13.95,13.36,
Wegmans,434688119,,14.89,,14.49
Trader Joes,435304991,23.29,20.69,,20.09
Safeway,435304991,24.49,,20.89,21.09
Whole Foods,435304991,25.89,22.99,1.99,22.39
Wegmans,435304991,,21.09,,20.49
Walmart,435304991,22.11,19.62,18.93,19.1
Whole Foods,436463728,59.69,,1.99,
Wegmans,436463728,,48.59,46.69,47.09
Trader Joes,436463728,,47.59,,46.19
Safeway,436463728,56.39,,48.09,48.59
Walmart,436463728,,45.14,43.47,43.87
Walmart,436491453,,,51.11,51.75
Wegmans,436491453,,57.29,54.99,55.59
Trader Joes,436491453,63.19,,,54.49
Whole Foods,436491453,,62.49,1.99,
Safeway,436491453,,,56.69,
Trader Joes,437067209,,,55.59,56.09
Whole Foods,437067209,,64.39,1.99,62.49
Safeway,437067209,68.49,,58.39,58.99
Walmart,437067209,,54.87,,53.27
Wegmans,437067209,,58.99,56.69,57.29
Whole Foods,437172755,,14.89,1.99,14.49
Wegmans,437172755,,13.69,,13.29
Trader Joes,437172755,15.09,13.39,,
Safeway,437172755,,,13.49,13.69
Walmart,437172755,,,12.23,12.43
Wegmans,437637358,,24.79,,23.99
Trader Joes,437637358,27.39,24.29,23.29,23.59
Safeway,437637358,28.79,,,24.79
Walmart,437637358,,23.06,,
Whole Foods,437637358,30.39,26.99,1.99,
Safeway,438682627,,,51.69,52.19
Wegmans,438682627,,52.19,50.19,50.69
Whole Foods,438682627,,56.89,1.99,55.29
Trader Joes,438682627,,51.09,49.09,49.59
Walmart,438682627,54.77,48.52,46.67,
Walmart,440219593,,12.42,12.0,
Wegmans,440219593,,13.39,,12.99
Whole Foods,440219593,16.39,14.59,1.99,
Safeway,440219593,15.49,,13.19,
Trader Joes,440219593,14.79,,,
Whole Foods,440309024,39.19,34.79,1.99,
Trader Joes,440309024,35.19,,29.99,30.29
Safeway,440309024,,,31.59,
Walmart,440309024,33.46,29.71,28.52,28.86
Wegmans,440309024,,31.89,,30.99
Whole Foods,441168504,,20.59,1.99,19.99
Wegmans,441168504,,18.89,,18.29
Walmart,441168504,,17.56,,17.03
Safeway,441168504,21.89,,18.69,18.89
Trader Joes,441168504,20.79,,,17.89
Wegmans,441404447,,52.79,50.69,51.19
Walmart,441404447,55.36,49.16,,47.65
Safeway,441404447,,,52.29,52.79
Whole Foods,441404447,64.89,57.59,1.99,55.89
Trader Joes,441404447,,,,50.19
Walmart,441453292,39.26,34.86,,
Wegmans,441453292,,37.39,,
Safeway,441453292,43.49,,,37.39
Trader Joes,441453292,41.29,36.69,,35.59
Whole Foods,441453292,45.99,,1.99,39.59
Wegmans,441772088,,24.99,,24.29
Trader Joes,441772088,,24.49,23.59,23.79
Whole Foods,441772088,,27.29,,26.49
Safeway,441772088,,,24.79,24.99
Walmart,441772088,26.21,23.31,22.37,
Walmart,441947799,54.65,48.45,46.53,47.05
Trader Joes,441947799,,50.99,,49.49
Wegmans,441947799,,52.09,49.99,50.49
Safeway,441947799,60.49,,51.49,52.09
Whole Foods,441947799,,56.79,1.99,55.09
Whole Foods,442236507,57.29,50.89,1.99,
Safeway,442236507,,,,46.59
Trader Joes,442236507,51.49,,,
Wegmans,442236507,,46.59,,45.29
Walmart,442236507,48.93,43.41,41.71,
Walmart,443127155,,36.94,,35.82
Whole Foods,443127155,48.79,43.29,1.99,
Safeway,443127155,,,39.29,39.69
Trader Joes,443127155,,,,37.79
Wegmans,443127155,,39.69,38.19,38.49
Trader Joes,445250129,,55.89,,54.29
Safeway,445250129,,,56.49,57.09
Walmart,445250129,59.86,53.01,,51.53
Whole Foods,445250129,,62.19,1.99,
Wegmans,445250129,,57.09,,55.39
Walmart,445351739,,,30.9,
Safeway,445351739,40.19,,34.19,34.59
Wegmans,445351739,,34.59,,33.59
Whole Foods,445351739,42.49,37.69,1.99,36.59
Trader Joes,445351739,,,,32.89
Whole Foods,446836510,,18.09,1.99,17.59
Walmart,446836510,,15.45,,15.05
Safeway,446836510,,,16.39,16.59
Wegmans,446836510,,16.59,15.89,16.09
Trader Joes,446836510,,,15.59,15.79
Walmart,447640332,,11.52,11.13,11.27
Whole Foods,447640332,15.29,,,13.09
Wegmans,447640332,,12.39,,12.09
Safeway,447640332,,,12.29,12.39
Trader Joes,447640332,13.69,12.19,11.69,11.79
Whole Foods,447858500,,23.39,1.99,22.79
Wegmans,447858500,,21.49,20.69,20.89
Walmart,447858500,22.57,20.02,19.26,19.47
Safeway,447858500,24.99,,21.29,21.49
Walmart,448330081,50.63,,43.17,
Whole Foods,448330081,,,1.99,
Trader Joes,448330081,,,45.39,45.89
Safeway,448330081,,,,48.29
Wegmans,448330081,,48.29,46.39,46.89
Safeway,449986246,,,4.99,5.09
Whole Foods,449986246,6.19,5.49,,5.29
Walmart,449986246,5.37,4.73,4.54,4.61
Trader Joes,449986246,5.59,,,4.79
Wegmans,449986246,,5.09,4.89,4.89
Whole Foods,450309449,33.19,29.49,1.99,28.59
Safeway,450309449,,,26.79,26.99
Wegmans,450309449,,,,26.19
Trader Joes,450309449,,,,25.69
Walmart,450309449,28.33,25.11,24.23,24.45
Walmart,451026029,39.44,35.01,33.65,
Wegmans,451026029,,37.59,36.19,36.49
Safeway,451026029,,,,37.59
Trader Joes,451026029,41.59,,,35.79
Whole Foods,451026029,,40.99,1.99,39.79
Wegmans,451469731,,51.29,,49.79
Trader Joes,451469731,56.59,,,48.79
Whole Foods,451469731,,55.89,1.99,
Safeway,451469731,,,,51.29
Walmart,451469731,53.77,47.63,,46.34
Whole Foods,454788216,,36.49,1.99,
Wegmans,454788216,,33.49,,32.49
Walmart,454788216,35.17,31.11,,30.2
Trader Joes,454788216,,,,31.79
Safeway,454788216,,,,33.49
Whole Foods,456113225,72.89,64.59,1.99,
Wegmans,456113225,,59.29,56.89,57.49
Trader Joes,456113225,,58.09,,56.39
Walmart,456113225,62.11,55.15,,
Wegmans,456975266,,13.79,,13.39
Trader Joes,456975266,15.19,,,13.09
Walmart,456975266,,12.86,12.3,
Safeway,456975266,,,13.59,13.79
Whole Foods,456975266,16.89,,1.99,14.59
Safeway,457695472,,,,52.19
Wegmans,457695472,,52.19,,50.69
Whole Foods,457695472,64.19,56.89,1.99,55.29
Walmart,457695472,,48.54,,
Safeway,458313112,,,14.19,14.29
Whole Foods,458313112,,,1.99,
Walmart,458313112,,13.36,12.81,
Wegmans,458313112,,14.29,,13.89
Trader Joes,458313112,,13.99,,13.59
Walmart,458350008,,6.44,6.11,
Trader Joes,458350008,,,,6.49
Whole Foods,458350008,8.39,7.49,1.99,
Safeway,458350008,,,,6.79
Wegmans,458350008,,6.79,,
Trader Joes,459605874,,,,16.49
Safeway,459605874,,,17.19,17.29
Whole Foods,459605874,21.29,18.89,1.99,18.39
Walmart,459605874,,16.12,15.51,
Wegmans,459605874,,17.29,,16.79
Trader Joes,460807284,39.59,35.19,,34.09
Safeway,460807284,41.69,,35.49,35.89
Walmart,460807284,,33.44,32.13,
Whole Foods,460807284,44.09,,1.99,37.99
Wegmans,460807284,,35.89,,34.79
Wegmans,461128883,,56.89,54.69,55.19
Whole Foods,461128883,,61.99,1.99,
Walmart,461128883,59.67,,50.8,
Trader Joes,461128883,62.79,55.69,53.59,
Safeway,461128883,,,56.29,56.89
Whole Foods,466810890,63.69,,1.99,54.89
Wegmans,466810890,,51.79,,
Trader Joes,466810890,57.19,,48.79,49.29
Walmart,466810890,,48.24,46.32,46.84
Trader Joes,468699741,,,30.79,31.09
Whole Foods,468699741,40.19,35.69,1.99,34.59
Wegmans,468699741,,32.69,,31.69
Walmart,468699741,,30.42,,29.51
Safeway,468699741,,,32.39,32.69
Trader Joes,470178735,61.69,54.79,52.59,
Walmart,470178735,,51.9,49.91,50.43
Wegmans,470178735,,55.89,53.69,54.19
Safeway,470178735,,,55.29,55.89
Whole Foods,470178735,68.69,60.99,1.99,
Whole Foods,470692001,18.29,16.29,1.99,
Walmart,470692001,,13.91,13.3,
Wegmans,470692001,,14.89,,14.49
Safeway,470692001,17.29,,14.79,
Trader Joes,470692001,16.49,14.59,14.09,14.19
Walmart,471370637,,16.02,,15.56
Safeway,471370637,,,16.99,17.19
Whole Foods,471370637,21.09,18.69,1.99,
Trader Joes,471370637,,,16.19,16.29
Wegmans,471370637,,,,16.69
Trader Joes,472559312,31.79,,,27.39
Walmart,472559312,,26.81,25.76,26.06
Wegmans,472559312,,28.79,,27.99
Safeway,472559312,33.39,,28.49,28.79
Whole Foods,472559312,35.39,31.39,,
Walmart,473279874,,,,22.17
Wegmans,473279874,,24.49,,23.79
Trader Joes,473279874,27.09,23.99,23.09,23.29
Safeway,473279874,,,24.29,
Whole Foods,473279874,30.09,26.69,1.99,25.89
Walmart,474794200,,34.9,,33.95
Wegmans,474794200,,37.49,,36.39
Trader Joes,474794200,,,35.29,35.69
Whole Foods,474794200,46.09,40.89,1.99,
Safeway,474794200,,,37.19,37.49
Trader Joes,475245085,,46.49,,45.09
Walmart,475245085,49.71,44.12,42.41,
Safeway,475245085,55.09,,,47.49
Whole Foods,475245085,,51.79,1.99,
Wegmans,475245085,,47.49,45.59,46.09
Whole Foods,475672709,,44.29,1.99,
Trader Joes,475672709,44.79,39.79,,38.59
Walmart,475672709,,37.72,,
Wegmans,475672709,,40.59,,39.39
Safeway,476935693,37.69,,,32.49
Wegmans,476935693,,32.49,,
Whole Foods,476935693,,,1.99,34.39
Trader Joes,476935693,,,30.59,30.89
Walmart,476935693,34.04,30.21,29.07,
Safeway,477240979,,,10.29,10.39
Trader Joes,477240979,11.49,10.19,9.79,9.89
Wegmans,477240979,,10.39,9.99,
Whole Foods,477240979,12.79,11.29,1.99,10.99
Walmart,477240979,10.93,9.77,9.33,
Trader Joes,477539026,53.79,,,46.39
Walmart,477539026,,45.36,43.55,44.06
Safeway,477539026,,,,48.79
Wegmans,477539026,,48.79,,47.29
Whole Foods,477539026,59.89,53.19,1.99,51.59
Whole Foods,477638150,,8.29,1.99,
Safeway,477638150,,,,7.59
Walmart,477638150,7.95,7.01,,
Wegmans,477638150,,7.59,,7.39
Trader Joes,479749486,44.89,,38.29,38.69
Walmart,479749486,42.61,37.84,36.32,
Whole Foods,479749486,49.99,44.39,1.99,42.99
Wegmans,479749486,,40.69,39.09,39.49
Safeway,479749486,,,,40.69
Wegmans,480476230,,21.29,,20.59
Trader Joes,480476230,23.49,20.79,,20.19
Walmart,480476230,,19.82,,19.21
Safeway,480476230,,,21.09,21.29
Whole Foods,480476230,,23.19,1.99,22.49
Trader Joes,481195187,38.49,,32.79,33.19
Wegmans,481195187,,34.89,,33.89
Walmart,481195187,,,31.27,31.56
Whole Foods,481195187,42.89,38.09,1.99,
Safeway,481195187,,,34.49,34.89
Wegmans,481217425,,27.39,,26.59
Whole Foods,481217425,,29.89,1.99,28.99
Safeway,481217425,,,,27.39
Walmart,481217425,,25.56,24.5,24.73
Trader Joes,481217425,,26.79,,26.09
Walmart,484526970,4.55,4.06,3.83,3.97
Wegmans,484526970,,4.29,,4.19
Trader Joes,484526970,4.69,4.19,3.99,4.09
Safeway,484526970,,,,4.29
Whole Foods,484526970,5.19,4.69,1.99,
Trader Joes,484719492,,,,51.39
Safeway,484719492,,,53.49,54.09
Walmart,484719492,,50.33,,
Wegmans,484719492,,54.09,51.99,52.49
Whole Foods,484719492,66.49,58.99,1.99,
Whole Foods,486230490,64.59,57.29,1.99,
Wegmans,486230490,,52.49,,50.99
Safeway,486230490,,,51.99,52.49
Trader Joes,486230490,,,49.39,49.89
Walmart,486230490,55.06,,,
Wegmans,486482090,,31.49,30.19,30.49
Whole Foods,486482090,38.69,34.29,,33.29
Trader Joes,486482090,,,29.59,29.89
Walmart,486482090,33.03,29.21,28.11,28.47
Safeway,486482090,36.49,,31.09,31.49
Wegmans,488091787,,26.89,25.79,26.09
Trader Joes,488091787,29.69,,,25.59
Whole Foods,488091787,32.99,29.29,1.99,28.39
Walmart,488091787,28.13,25.02,24.06,24.26
Safeway,488091787,,,26.59,26.89
Trader Joes,488377803,4.89,,,4.19
Walmart,488377803,,,4.04,4.03
Safeway,488377803,,,4.39,4.49
Whole Foods,488377803,5.49,,1.99,4.69
Wegmans,488377803,,,4.29,4.29
Wegmans,489000444,,8.19,,7.99
Walmart,489000444,,7.75,7.41,7.45
Trader Joes,489000444,9.09,,7.79,7.79
Whole Foods,489000444,10.09,,1.99,
Safeway,489000444,,,8.19,8.19
Walmart,489398729,,34.76,,
Safeway,489398729,,,36.99,
Wegmans,489398729,,37.29,35.89,36.19
Trader Joes,489398729,,,,35.49
Whole Foods,489398729,45.89,40.69,1.99,39.49
Wegmans,492209870,,59.39,,57.69
Walmart,492209870,,55.25,53.13,53.6
Trader Joes,492209870,65.59,58.19,55.99,
Whole Foods,492209870,,64.79,1.99,62.89
Trader Joes,494020899,53.19,,,45.79
Walmart,494020899,50.4,44.72,43.01,
Whole Foods,494020899,59.19,52.49,1.99,
Wegmans,494020899,,48.09,,46.69
Safeway,494020899,,,47.69,48.09
Whole Foods,495847520,,63.19,,61.29
Wegmans,495847520,,,55.69,56.19
Safeway,495847520,,,57.29,57.89
Walmart,495847520,,53.84,,52.31
Trader Joes,495847520,63.99,,,
Safeway,496444498,,,17.09,17.29
Trader Joes,496444498,,,,16.49
Wegmans,496444498,,17.29,,16.79
Walmart,496444498,,16.15,,15.64
Whole Foods,496444498,,18.89,1.99,18.29
Wegmans,499640947,,0.89,,0.89
Safeway,499640947,,,0.89,0.89
Walmart,499640947,1.03,0.92,0.93,
Whole Foods,499640947,,0.99,1.99,0.99
Trader Joes,499640947,0.99,,,0.89
Trader Joes,500505797,33.39,,28.49,28.79
Whole Foods,500505797,,32.99,1.99,31.99
Wegmans,500505797,,30.29,,29.39
Safeway,500505797,35.09,,29.89,30.29
Walmart,500505797,,28.11,,27.35
Whole Foods,502816606,,33.49,1.99,
Trader Joes,502816606,,,28.89,29.19
Safeway,502816606,,,,30.69
Wegmans,502816606,,30.69,,29.79
Walmart,502816606,32.2,28.55,27.4,
Whole Foods,503341824,34.59,30.69,1.99,29.79
Wegmans,503341824,,28.19,27.09,27.29
Walmart,503341824,29.56,26.23,,
Trader Joes,503341824,31.09,27.59,26.49,26.79
Safeway,503341824,,,,28.19
Safeway,503736553,14.49,,,12.49
Whole Foods,503736553,,13.59,1.99,13.19
Trader Joes,503736553,,12.19,,11.89
Walmart,503736553,,11.62,11.16,
Wegmans,503736553,,12.49,11.99,12.09
Safeway,503966459,,,37.59,37.89
Trader Joes,503966459,,37.19,,36.09
Walmart,503966459,,35.32,33.91,34.26
Whole Foods,503966459,,41.39,1.99,
Wegmans,503966459,,37.89,,36.79
Safeway,504139198,64.19,,54.69,55.29
Wegmans,504139198,,55.29,,53.69
Walmart,504139198,,51.44,,49.94
Whole Foods,504139198,,,1.99,
Trader Joes,504139198,,,,52.59
Walmart,505307561,,,45.94,46.41
Whole Foods,505307561,63.19,56.09,1.99,
Trader Joes,505307561,,50.39,48.39,48.89
Wegmans,505307561,,51.39,49.39,
Safeway,505307561,,,50.89,51.39
Walmart,505693127,,24.62,23.61,
Trader Joes,505693127,,25.89,,25.09
Whole Foods,505693127,32.49,28.79,1.99,
Safeway,505693127,,,,26.39
Wegmans,505693127,,26.39,,25.69
Walmart,506238955,59.9,53.16,51.07,
Trader Joes,506238955,,,53.79,54.39
Wegmans,506238955,,,,55.49
Safeway,506238955,,,56.59,57.19
Whole Foods,506238955,70.29,62.29,1.99,
Safeway,506732002,,,54.59,55.09
Wegmans,506732002,,55.09,,53.49
Whole Foods,506732002,,60.09,1.99,58.39
Walmart,506732002,57.75,51.25,49.26,49.74
Trader Joes,506732002,,53.99,,52.39
Trader Joes,506754007,,,46.79,47.19
Wegmans,506754007,,49.69,,48.19
Safeway,506754007,57.69,,49.19,49.69
Whole Foods,506754007,61.09,54.19,1.99,52.59
Walmart,506754007,,46.22,44.44,
Trader Joes,507203618,,25.49,,24.79
Whole Foods,507203618,,28.39,1.99,
Wegmans,507203618,,25.99,,25.29
Safeway,507203618,,,25.79,25.99
Walmart,507203618,27.31,24.23,,
Trader Joes,508453812,45.39,40.29,38.69,
Whole Foods,508453812,,44.79,1.99,
Wegmans,508453812,,41.09,39.49,39.89
Safeway,508453812,,,40.69,41.09
Walmart,508453812,43.15,,36.7,37.17
Whole Foods,508604923,,45.79,1.99,
Wegmans,508604923,,41.99,,40.79
Safeway,508604923,,,41.59,41.99
Walmart,508604923,,39.02,37.54,37.96
Trader Joes,508604923,,,39.49,39.89
Safeway,509056495,,,,23.89
Trader Joes,509056495,,23.39,,
Whole Foods,509056495,,26.09,1.99,
Walmart,509056495,25.12,22.23,21.45,21.61
Wegmans,509056495,,23.89,22.99,
Whole Foods,509116779,,1.49,1.99,
Walmart,509116779,,1.37,1.37,1.34
Safeway,509116779,,,1.39,1.39
Wegmans,509116779,,1.39,1.39,1.39
Trader Joes,509116779,1.49,1.39,,1.29
Whole Foods,509419735,47.39,41.99,1.99,
Safeway,509419735,44.79,,38.19,
Trader Joes,509419735,42.59,,,36.69
Wegmans,509419735,,38.49,,37.39
Walmart,509419735,40.43,35.82,34.43,34.8
Wegmans,513172706,,5.29,5.09,5.09
Safeway,513172706,,,,5.29
Trader Joes,513172706,,,,4.99
Whole Foods,513172706,6.49,,1.99,
Walmart,513172706,,4.97,,4.81
Wegmans,514293895,,39.69,,38.49
Walmart,514293895,,36.93,,
Whole Foods,514293895,,43.29,1.99,
Safeway,514293895,46.09,,39.29,39.69
Trader Joes,514293895,43.79,38.89,37.39,37.79
Whole Foods,514730047,53.09,,1.99,
Walmart,514730047,45.24,40.17,,39.04
Safeway,514730047,,,42.69,43.19
Trader Joes,514730047,,42.29,,41.09
Wegmans,514730047,,43.19,41.49,41.89
Safeway,514805290,,,6.39,6.49
Trader Joes,514805290,7.19,,,6.19
Walmart,514805290,,6.0,,
Whole Foods,514805290,,7.09,1.99,6.89
Wegmans,514805290,,,6.19,6.29
Wegmans,514912132,,39.99,,38.79
Whole Foods,514912132,49.19,,1.99,42.29
Safeway,514912132,,,39.59,39.99
Trader Joes,514912132,44.19,,37.59,37.99
Walmart,514912132,,37.23,,36.11
Trader Joes,514987291,,,,52.69
Safeway,514987291,,,54.89,55.49
Wegmans,514987291,,55.49,,53.79
Walmart,514987291,,,49.56,50.05
Whole Foods,514987291,68.19,60.49,,58.69
Whole Foods,516205909,,37.39,1.99,36.29
Safeway,516205909,,,33.89,34.29
Wegmans,516205909,,34.29,,33.29
Walmart,516205909,,31.93,30.63,30.91
Trader Joes,516205909,37.89,33.59,32.29,32.59
Trader Joes,517769564,21.69,,,18.69
Wegmans,517769564,,19.69,,19.09
Safeway,517769564,,,19.49,19.69
Walmart,517769564,,18.31,,17.82
Whole Foods,517769564,24.19,21.39,1.99,20.79
Trader Joes,518047270,30.69,27.19,26.19,26.49
Safeway,518047270,,,27.49,27.79
Walmart,518047270,,25.87,24.81,25.13
Whole Foods,518047270,34.19,30.29,1.99,29.39
Wegmans,518047270,,27.79,,26.99
Trader Joes,523773926,,,11.89,11.99
Wegmans,523773926,,12.59,12.09,12.19
Safeway,523773926,,,12.49,12.59
Walmart,523773926,,11.74,,11.42
Whole Foods,523773926,,13.69,1.99,
Whole Foods,525505777,22.39,19.79,1.99,19.29
Trader Joes,525505777,,,17.09,17.29
Walmart,525505777,19.14,16.96,16.31,16.43
Wegmans,525505777,,18.19,17.49,17.69
Walmart,525996730,,42.43,40.81,
Safeway,525996730,,,45.19,45.59
Wegmans,525996730,,45.59,,44.29
Whole Foods,525996730,,49.79,1.99,48.29
Trader Joes,525996730,,44.69,,43.39
Walmart,526069074,9.53,,,8.2
Wegmans,526069074,,8.99,,8.79
Safeway,526069074,,,8.89,
Trader Joes,526069074,9.99,,,8.59
Whole Foods,526069074,11.09,9.79,1.99,
Wegmans,526212256,,,30.59,30.89
Trader Joes,526212256,35.19,31.19,29.99,
Walmart,526212256,33.4,29.65,28.57,28.85
Safeway,526212256,,,31.59,31.89
Whole Foods,526212256,,34.79,1.99,33.69
Whole Foods,526328901,,2.09,1.99,
Wegmans,526328901,,1.89,1.89,
Walmart,526328901,2.05,1.83,,
Safeway,526328901,,,1.89,
Trader Joes,526328901,,,,1.79
Wegmans,529559570,,7.99,,7.79
Whole Foods,529559570,,8.69,1.99,8.49
Trader Joes,529559570,,7.79,,7.59
Walmart,529559570,8.4,7.47,7.23,7.23
Safeway,529559570,,,7.89,7.99
Wegmans,529968586,,35.39,33.99,34.39
Walmart,529968586,37.12,,31.67,31.92
Trader Joes,529968586,,34.69,33.29,33.69
Whole Foods,529968586,43.49,38.59,1.99,37.49
Safeway,529968586,,,,35.39
Whole Foods,531197407,30.29,26.89,1.99,
Wegmans,531197407,,24.69,23.69,23.89
Walmart,531197407,,22.92,,22.34
Trader Joes,531197407,,,,23.49
Safeway,531197407,,,24.39,24.69
Wegmans,531867954,,52.39,50.29,50.79
Walmart,531867954,,48.73,,47.31
Trader Joes,531867954,57.89,,49.29,49.79
Safeway,531867954,60.79,,51.89,52.39
Whole Foods,531867954,,57.09,1.99,55.49
Safeway,533704030,,,55.29,
Whole Foods,533704030,68.69,60.89,1.99,59.09
Trader Joes,533704030,61.69,54.69,52.59,
Walmart,533704030,,51.96,,
Wegmans,533704030,,55.89,,54.19
Whole Foods,534498710,,56.29,1.99,
Trader Joes,534498710,56.99,,,49.09
Walmart,534498710,54.16,,,46.67
Safeway,534498710,,,51.09,51.69
Wegmans,534498710,,51.69,,50.09
Trader Joes,534500231,57.39,50.89,,49.39
Wegmans,534500231,,51.89,49.89,50.39
Whole Foods,534500231,,56.59,1.99,54.99
Walmart,534500231,54.46,48.32,46.4,
Safeway,534500231,,,51.39,51.89
Whole Foods,535286391,,32.09,1.99,
Trader Joes,535286391,32.49,28.79,,27.99
Safeway,535286391,34.19,,29.09,
Walmart,535286391,,,,26.63
Wegmans,535286391,,29.39,,28.59
Wegmans,535529908,,2.29,,2.19
Safeway,535529908,2.69,,2.29,2.29
Whole Foods,535529908,,2.49,1.99,
Walmart,535529908,,2.12,2.16,2.12
Trader Joes,535529908,,2.29,2.19,2.19
Whole Foods,536411687,48.79,43.29,1.99,
Trader Joes,536411687,,38.89,,37.79
Safeway,536411687,,,39.29,
Wegmans,536411687,,39.69,,38.59
Walmart,536411687,41.66,36.93,,35.85
Safeway,537045183,,,16.49,16.59
Whole Foods,537045183,20.39,18.09,1.99,
Walmart,537045183,,15.53,14.92,15.0
Trader Joes,537045183,,16.29,,15.79
Wegmans,537045183,,16.59,,16.09
Trader Joes,538593323,,,,17.19
Walmart,538593323,,16.8,16.25,16.3
Safeway,538593323,20.99,,17.89,18.09
Whole Foods,538593323,22.19,19.69,1.99,
Wegmans,538593323,,18.09,17.39,17.59
Wegmans,538783344,,,,47.89
Safeway,538783344,,,48.79,49.29
Trader Joes,538783344,,,,46.89
Whole Foods,538783344,,53.79,1.99,
Walmart,538783344,51.7,,44.07,44.57
Walmart,541222561,3.17,2.86,,2.7
Safeway,541222561,3.39,,2.89,
Whole Foods,541222561,3.59,3.19,1.99,
Trader Joes,541222561,3.29,,,2.79
Wegmans,541222561,,2.99,,2.89
Walmart,541553073,32.96,,28.06,
Whole Foods,541553073,,34.19,1.99,33.19
Trader Joes,541553073,,,,29.89
Safeway,541553073,,,31.09,31.39
Wegmans,541553073,,31.39,,30.49
Walmart,541944658,,38.23,,
Whole Foods,541944658,,44.89,1.99,43.59
Wegmans,541944658,,41.09,39.49,39.89
Trader Joes,541944658,45.39,40.29,38.69,39.09
Safeway,541944658,,,40.69,
Wegmans,542244776,,34.89,,33.89
Whole Foods,542244776,42.89,38.09,1.99,
Trader Joes,542244776,,34.19,,33.19
Safeway,542244776,40.59,,34.59,34.89
Walmart,542244776,36.65,32.52,31.23,
Safeway,543464804,,,,19.49
Wegmans,543464804,,19.49,18.69,18.89
Trader Joes,543464804,21.49,19.09,,18.59
Walmart,543464804,,18.14,17.42,17.62
Whole Foods,543464804,,21.29,1.99,
Safeway,544719559,,,44.39,44.89
Wegmans,544719559,,44.89,,43.59
Trader Joes,544719559,,43.99,,42.69
Walmart,544719559,,41.72,40.15,
Whole Foods,544719559,,48.89,1.99,47.49
Wegmans,545019950,,57.79,55.49,56.09
Whole Foods,545019950,70.99,62.99,1.99,61.19
Walmart,545019950,,53.7,,52.13
Trader Joes,545019950,,,54.39,54.89
Safeway,545019950,,,57.19,57.79
